"Province Name","Province Name","Province Code","District Name","District Name","District Code","OD Name","OD Name","OD Code","Health Center Code","Health Center Name","Health Center Name","Commune Name","Commune Name","Commune Code","Village Name","Village Name","Village Code","HaveVMW"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Kouk Ballangk","eKakblø½gá","010204","Phat Sandaong","pat;seNþag","01020405","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Kouk Ballangk","eKakblø½gá","010204","Char Thmei","carfµI","01020406","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Kouk Ballangk","eKakblø½gá","010204","Ph'av Thmei","payfµI","01020407","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Kouk Ballangk","eKakblø½gá","010204","Ta Sal","tasl;","01020408","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010118","Koy Maeng","kuyemog","Koy Maeng","kuyemog","010205","Koy Maeng","KyEm:g","01020501","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010118","Koy Maeng","kuyemog","Koy Maeng","kuyemog","010205","Sdei Leu","sþIelI","01020502","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010118","Koy Maeng","kuyemog","Koy Maeng","kuyemog","010205","Phlov Siem","pøÚvesom","01020503","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010118","Koy Maeng","kuyemog","Koy Maeng","kuyemog","010205","Ta Nong","tang;","01020504","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010118","Koy Maeng","kuyemog","Koy Maeng","kuyemog","010205","Angkar Khmau","GgárexµA","01020505","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010118","Koy Maeng","kuyemog","Koy Maeng","kuyemog","010205","Kasang Thmei","ksagfµI","01020506","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010118","Koy Maeng","kuyemog","Koy Maeng","kuyemog","010205","Stueng Chas","sÞwgcas;","01020507","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010118","Koy Maeng","kuyemog","Koy Maeng","kuyemog","010205","Sdei Kraom","sþIeRkam","01020508","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Phnum Thum Tboung","PñMFMt,Úg","01020601","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Phnum Prasat","PñMR)asaT","01020602","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Phnum Thum Cheung","PñMFMeCIg","01020603","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Chamkar Louk","cMkarelak","01020604","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Phnum Thum Thmei","PñMFMfµI","01020605","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Anlong Sdei","Gnøg;sþI","01020606","No"
